raceId,driverId,stop,lap,time,duration,milliseconds
1,1,1,15,,24.201,24201.0
1,1,2,35,,24.663,29636.0
1,2,1,29,,19.935,19935.0
1,3,1,15,,22.665,22665.0
1,3,2,30,,22.334,22334.0
1,3,3,41,,21.611,21611.0
1,4,1,18,,24.477,24477.0
1,4,2,31,,26.689,26689.0
1,5,1,12,,24.186,24186.0
1,6,1,11,,22.228,22228.0
1,6,2,12,,18.421,18421.0
1,6,3,37,,19.262,19262.0
1,7,1,29,,23.962,23962.0
1,7,2,36,,23.741,23741.0
1,8,1,19,,22.525,22525.0
1,9,1,11,,22.122,22122.0
1,9,2,21,,22.759,22759.0
1,10,1,34,,25.749,25749.0
1,10,2,36,,19.889,19889.0
2,1,1,25,,24.034,24034.0
2,1,2,27,,23.189,23189.0
2,1,3,37,,25.913,25913.0
2,2,1,57,,24.746,24746.0
2,3,1,17,,23.276,23276.0
2,3,2,55,,26.682,26682.0
2,3,3,64,,20.032,20032.0
2,4,1,46,,22.062,22062.0
2,5,1,33,,24.097,24097.0
2,6,1,33,,23.226,23015.0
2,6,2,35,,23.893,23893.0
2,6,3,57,,20.865,20865.0
2,7,1,30,,23.073,23073.0
2,7,2,40,,17.464,17464.0
2,7,3,50,,22.617,23015.0
2,8,1,23,,23.446,23446.0
2,8,2,38,,24.025,24025.0
2,8,3,64,,18.655,18655.0
2,9,1,29,,23.684,23684.0
2,9,2,36,,23.425,23425.0
2,9,3,55,,25.331,25331.0
2,10,1,11,,21.991,21991.0
2,10,2,29,,26.233,26233.0
2,10,3,63,,22.916,22916.0
3,1,1,17,,23.284,23284.0
3,1,2,18,,21.843,21843.0
3,1,3,38,,23.736,23736.0
3,2,1,23,,25.671,25671.0
3,2,2,32,,22.054,22054.0
3,2,3,33,,21.002,21002.0
3,3,1,34,,21.014,21014.0
3,3,2,46,,23.585,23585.0
3,4,1,14,,24.012,24012.0
3,4,2,35,,22.324,22324.0
3,4,3,46,,25.85,25850.0
3,5,1,13,,26.939,26939.0
3,6,1,21,,23.622,23622.0
3,6,2,22,,24.211,24211.0
3,6,3,31,,26.804,26804.0
3,7,1,24,,20.646,20646.0
3,7,2,44,,24.098,24098.0
3,7,3,47,,28.682,28682.0
3,8,1,42,,21.249,21249.0
