resultId,raceId,driverId,constructorId,grid,position,points,laps,statusId,fastestLapTime,rank
1,1,1,1,7.0,3.0,15.0,51.0,1,91.196,4
2,1,2,2,8.0,10.0,1.0,51.0,1,90.908,2
3,1,3,3,1.0,7.0,6.0,51.0,1,91.77,7
4,1,4,4,9.0,5.0,10.0,51.0,1,91.092,5
5,1,5,5,4.0,8.0,4.0,51.0,1,90.894,5
6,1,6,6,6.0,5.0,0.0,37.0,14,91.44800000000001,2
7,1,7,1,3.0,5.0,0.0,36.0,11,90.787,5
8,1,8,2,5.0,2.0,18.0,51.0,1,90.668,1
9,1,9,3,10.0,4.0,12.0,51.0,1,91.429,3
10,1,10,4,2.0,9.0,2.0,51.0,1,90.515,6
11,2,1,1,10.0,3.0,15.0,70.0,1,77.96000000000001,2
12,2,2,2,3.0,5.0,10.0,70.0,1,78.377,9
13,2,3,3,1.0,2.0,18.0,70.0,1,77.756,10
14,2,4,4,7.0,6.0,8.0,70.0,1,77.47800000000001,10
15,2,5,5,2.0,5.0,0.0,42.0,19,78.463,5
16,2,6,6,4.0,10.0,1.0,70.0,1,78.187,7
17,2,7,1,8.0,4.0,12.0,70.0,1,78.023,8
18,2,8,2,5.5,7.0,6.0,70.0,1,77.811,4
19,2,9,3,9.0,9.0,2.0,70.0,1,77.664,4
20,2,10,4,5.5,1.0,25.0,70.0,1,77.209,8
21,3,1,1,10.0,9.0,2.0,55.0,1,87.169,5
22,3,2,2,5.0,4.0,12.0,55.0,1,88.586,6
23,3,3,3,9.0,5.0,10.0,55.0,1,88.367,3
24,3,4,4,2.0,8.0,4.0,55.0,1,88.805,9
25,3,5,5,3.0,2.0,18.0,55.0,1,88.30199999999999,8
26,3,6,6,6.0,6.0,8.0,55.0,1,88.35900000000001,7
27,3,7,1,7.0,5.0,0.0,36.0,12,88.16,5
28,3,8,2,4.0,10.0,1.0,55.0,1,88.084,2
29,3,9,3,1.0,3.0,15.0,55.0,1,87.864,3
30,3,10,4,8.0,1.0,25.0,55.0,1,88.318,2
31,4,1,1,2.0,5.0,0.0,36.0,14,82.10900000000001,2
32,4,2,2,1.0,1.0,25.0,68.0,1,82.01599999999999,4
33,4,3,3,4.0,8.0,4.0,68.0,1,81.301,7
34,4,4,4,6.0,3.0,15.0,68.0,1,82.188,10
35,4,5,5,9.0,5.0,0.0,63.0,15,81.563,2
36,4,6,6,5.0,4.0,12.0,68.0,1,81.918,9
37,4,7,1,10.0,9.0,2.0,68.0,1,82.926,6
38,4,8,2,3.0,10.0,1.0,68.0,1,82.199,8
39,4,9,3,7.0,5.0,0.0,36.0,9,81.952,1
40,4,10,4,8.0,7.0,6.0,68.0,1,82.053,4
41,5,1,1,7.0,4.0,12.0,64.0,1,91.155,5
42,5,2,2,3.0,7.0,6.0,64.0,1,91.253,1
43,5,3,3,6.0,2.0,18.0,64.0,1,90.69800000000001,9
44,5,4,4,1.0,8.0,4.0,64.0,1,90.928,6
45,5,5,5,8.0,9.0,2.0,64.0,1,90.364,2
46,5,6,6,10.0,3.0,15.0,64.0,1,91.187,9
47,5,7,1,2.0,1.0,25.0,64.0,1,92.03999999999999,8
48,5,8,2,4.0,5.0,10.0,64.0,1,91.254,5
49,5,9,3,5.0,10.0,1.0,64.0,1,90.931,3
50,5,10,4,9.0,6.0,8.0,64.0,1,91.032,3
51,6,1,1,10.0,3.0,15.0,55.0,1,88.798,10
52,6,2,2,3.0,4.0,12.0,55.0,1,88.276,7
53,6,3,3,1.0,2.0,18.0,55.0,1,88.282,4
54,6,4,4,2.0,9.0,2.0,55.0,1,88.99,5
55,6,5,5,6.0,10.0,1.0,55.0,1,88.57900000000001,3
56,6,6,6,9.0,5.0,10.0,55.0,1,88.371,8
57,6,7,1,8.0,8.0,4.0,55.0,1,87.907,4
58,6,8,2,7.0,7.0,6.0,55.0,1,88.76,1
59,6,9,3,4.0,6.0,8.0,55.0,1,88.35900000000001,6
60,6,10,4,5.0,1.0,25.0,55.0,1,87.875,4
61,7,1,1,5.0,3.0,15.0,56.0,1,92.436,9
62,7,2,2,7.0,10.0,1.0,56.0,1,93.51599999999999,6
63,7,3,3,1.0,7.0,6.0,56.0,1,92.49199999999999,10
64,7,4,4,4.0,4.0,12.0,56.0,1,92.3,5
65,7,5,5,10.0,1.0,25.0,56.0,1,92.168,3
66,7,6,6,8.0,9.0,2.0,56.0,1,92.116,2
67,7,7,1,3.0,2.0,18.0,56.0,1,92.584,10
68,7,8,2,9.0,6.0,8.0,56.0,1,92.37100000000001,4
69,7,9,3,6.0,8.0,4.0,56.0,1,93.14699999999999,10
70,7,10,4,2.0,5.0,10.0,56.0,1,92.374,6
71,8,1,1,10.0,10.0,1.0,55.0,1,90.389,7
72,8,2,2,5.0,5.0,10.0,55.0,1,89.289,1
73,8,3,3,8.0,4.0,12.0,55.0,1,89.20400000000001,2
74,8,4,4,3.0,5.0,0.0,41.0,13,90.224,3
75,8,5,5,2.0,2.0,18.0,55.0,1,90.064,3
76,8,6,6,9.0,9.0,2.0,55.0,1,89.207,3
77,8,7,1,7.0,7.0,6.0,55.0,1,89.831,6
78,8,8,2,4.0,5.0,0.0,50.0,8,89.346,5
79,8,9,3,6.0,6.0,8.0,55.0,1,89.834,4
80,8,10,4,1.0,1.0,25.0,55.0,1,90.066,5
81,9,1,1,4.0,7.0,6.0,54.0,1,78.589,7
82,9,2,2,5.0,9.0,2.0,54.0,1,77.82900000000001,2
83,9,3,3,7.0,8.0,4.0,54.0,1,78.846,7
84,9,4,4,8.0,1.0,25.0,54.0,1,78.467,5
85,9,5,5,6.0,2.0,18.0,54.0,1,78.625,10
86,9,6,6,10.0,5.0,10.0,54.0,1,78.392,10
87,9,7,1,1.0,3.0,15.0,54.0,1,78.826,10
88,9,8,2,3.0,4.0,12.0,54.0,1,78.474,1
89,9,9,3,2.0,10.0,1.0,54.0,1,78.856,5
90,9,10,4,9.0,5.0,8.0,43.0,4,78.956,4
91,10,1,1,6.0,3.0,15.0,54.0,1,81.178,2
92,10,2,2,4.0,8.0,4.0,54.0,1,81.463,10
93,10,3,3,1.0,10.0,1.0,54.0,1,81.055,8
94,10,4,4,9.0,2.0,18.0,54.0,1,81.605,1
95,10,5,5,7.0,7.0,6.0,54.0,1,80.813,7
96,10,6,6,10.0,1.0,25.0,54.0,1,81.094,1
97,10,7,1,5.0,5.0,10.0,54.0,1,80.71600000000001,9
98,10,8,2,2.0,9.0,2.0,54.0,1,80.713,5
99,10,9,3,8.0,4.0,12.0,54.0,1,81.115,8
100,10,10,4,3.0,6.0,8.0,54.0,1,81.464,5
101,11,1,1,7.0,2.0,18.0,51.0,1,80.73400000000001,3
102,11,2,2,1.0,6.0,8.0,51.0,1,80.318,4
103,11,3,3,8.0,5.0,10.0,51.0,1,81.287,4
104,11,4,4,5.0,9.0,2.0,51.0,1,81.65899999999999,9
105,11,5,5,3.0,5.0,0.0,46.0,14,80.369,4
106,11,6,6,2.0,5.0,0.0,36.0,14,79.838,6
107,11,7,1,6.0,1.0,25.0,51.0,1,80.976,9
108,11,8,2,9.0,3.0,15.0,51.0,1,80.451,1
109,11,9,3,4.0,8.0,4.0,51.0,1,81.142,7
110,11,10,4,10.0,10.0,1.0,51.0,1,80.663,3
111,12,1,1,6.0,5.0,0.0,57.0,9,78.775,3
112,12,2,2,9.0,9.0,2.0,62.0,1,79.08,9
113,12,3,3,4.0,8.0,4.0,62.0,1,79.543,5
114,12,4,4,8.0,3.0,15.0,62.0,1,79.10900000000001,2
115,12,5,5,5.0,5.0,10.0,62.0,1,78.083,1
116,12,6,6,1.0,1.0,25.0,62.0,1,79.008,9
117,12,7,1,7.0,7.0,6.0,62.0,1,78.846,9
118,12,8,2,3.0,4.0,12.0,62.0,1,78.937,6
119,12,9,3,2.0,2.0,18.0,62.0,1,78.693,8
120,12,10,4,10.0,5.0,0.0,49.0,19,79.224,8
121,13,1,1,10.0,10.0,8.0,57.0,1,80.852,3
122,13,2,2,9.0,3.0,15.0,57.0,1,80.895,6
123,13,3,3,2.0,4.0,12.0,57.0,1,81.319,1
124,13,4,4,3.0,5.0,10.0,57.0,1,80.983,10
125,13,5,5,4.0,6.0,8.0,57.0,1,80.987,10
126,13,6,6,5.0,9.0,2.0,57.0,1,81.762,7
127,13,7,1,7.0,7.0,6.0,57.0,1,81.174,1
128,13,8,2,8.0,8.0,4.0,57.0,1,81.263,4
129,13,9,3,6.0,2.0,18.0,57.0,1,81.857,2
130,13,10,4,1.0,1.0,25.0,57.0,1,81.661,10
131,14,1,1,1.0,1.0,25.0,63.0,1,86.89,2
132,14,2,2,5.0,10.0,1.0,63.0,1,87.276,5
133,14,3,3,3.0,3.0,15.0,63.0,1,87.337,7
134,14,4,4,8.0,6.0,8.0,63.0,1,87.783,5
135,14,5,5,6.0,2.0,18.0,63.0,1,87.554,2
136,14,6,6,4.0,5.0,10.0,63.0,1,87.893,1
137,14,7,1,10.0,9.0,8.0,63.0,1,87.314,8
138,14,8,2,9.0,4.0,12.0,63.0,1,87.95,2
139,14,9,3,7.0,8.0,4.0,63.0,1,87.872,10
140,14,10,4,2.0,7.0,6.0,63.0,1,88.31700000000001,8
141,15,1,1,3.0,10.0,1.0,60.0,1,81.563,3
142,15,2,2,2.0,2.0,18.0,60.0,1,82.15899999999999,6
143,15,3,3,10.0,1.0,25.0,60.0,1,82.417,3
144,15,4,4,8.0,5.0,10.0,60.0,1,81.872,4
145,15,5,5,4.0,5.0,0.0,36.0,11,81.267,9
146,15,6,6,9.0,9.0,2.0,60.0,1,82.137,9
147,15,7,1,5.0,8.0,4.0,60.0,1,81.131,2
148,15,8,2,7.0,4.0,12.0,60.0,1,81.447,4
149,15,9,3,6.0,6.0,8.0,60.0,1,82.042,1
150,15,10,4,1.0,3.0,15.0,60.0,1,81.696,8
151,16,1,1,9.0,4.0,12.0,71.0,1,90.908,2
152,16,2,2,8.0,8.0,4.0,71.0,1,91.503,7
153,16,3,3,6.0,6.0,8.0,71.0,1,91.07300000000001,1
154,16,4,4,1.0,10.0,1.0,71.0,1,91.804,10
155,16,5,5,5.0,5.0,10.0,71.0,1,92.10300000000001,3
156,16,6,6,3.0,3.0,15.0,71.0,1,91.395,6
157,16,7,1,7.0,7.0,6.0,71.0,1,90.751,7
158,16,8,2,2.0,2.0,18.0,71.0,1,90.925,7
159,16,9,3,10.0,1.0,25.0,71.0,1,91.426,10
160,16,10,4,4.0,9.0,2.0,71.0,1,90.832,3
161,17,1,1,10.0,3.0,15.0,59.0,1,86.989,7
162,17,2,2,2.0,2.0,18.0,59.0,1,87.184,4
163,17,3,3,1.0,5.0,0.0,45.0,3,86.851,9
164,17,4,4,4.0,5.0,0.0,36.0,12,86.257,3
165,17,5,5,6.0,5.0,0.0,50.0,12,87.346,8
166,17,6,6,9.0,5.0,10.0,59.0,1,86.554,7
167,17,7,1,7.0,7.0,6.0,59.0,1,87.739,5
168,17,8,2,8.0,8.0,4.0,59.0,1,87.14099999999999,9
169,17,9,3,3.0,5.0,0.0,36.0,9,87.625,4
170,17,10,4,5.0,1.0,25.0,59.0,1,86.143,6
171,18,1,1,8.0,2.0,18.0,51.0,1,84.282,9
172,18,2,2,1.0,6.0,8.0,51.0,1,85.44200000000001,9
173,18,3,3,7.0,4.0,12.0,51.0,1,85.03999999999999,10
174,18,4,4,3.0,8.0,4.0,51.0,1,85.283,2
175,18,5,5,5.0,5.0,10.0,51.0,1,84.805,3
176,18,6,6,2.0,7.0,6.0,51.0,1,84.816,5
177,18,7,1,6.0,3.0,15.0,51.0,1,84.855,6
178,18,8,2,4.0,1.0,25.0,51.0,1,85.426,2
179,18,9,3,9.0,9.0,2.0,51.0,1,85.551,4
180,18,10,4,10.0,10.0,1.0,51.0,1,85.146,2
181,19,1,1,2.0,6.0,8.0,53.0,1,90.971,4
182,19,2,2,9.0,1.0,25.0,53.0,1,90.92699999999999,5
183,19,3,3,5.0,4.0,12.0,53.0,1,90.514,4
184,19,4,4,3.0,9.0,2.0,53.0,1,89.934,10
185,19,5,5,8.0,3.0,34.5,53.0,1,90.382,1
186,19,6,6,1.0,8.0,4.0,53.0,1,91.366,2
187,19,7,1,10.0,10.0,1.0,53.0,1,91.489,5
188,19,8,2,6.0,5.0,10.0,53.0,1,91.167,4
189,19,9,3,4.0,2.0,18.0,53.0,1,90.267,3
190,19,10,4,7.0,7.0,6.0,53.0,1,90.47200000000001,5
191,20,1,1,9.0,3.0,15.0,58.0,1,90.879,1
192,20,2,2,2.0,2.0,18.0,58.0,1,91.225,7
193,20,3,3,1.0,9.0,2.0,58.0,1,91.15,6
194,20,4,4,10.0,7.0,6.0,58.0,1,90.694,2
195,20,5,5,5.0,5.0,10.0,58.0,1,91.16,10
196,20,6,6,6.0,6.0,8.0,58.0,1,91.315,10
197,20,7,1,4.0,10.0,1.0,58.0,1,91.1,7
198,20,8,2,8.0,8.0,4.0,58.0,1,91.325,6
199,20,9,3,3.0,1.0,25.0,58.0,1,91.375,7
200,20,10,4,7.0,4.0,8.0,58.0,1,90.5,5
201,21,1,1,3.0,5.0,0.0,43.0,4,88.511,10
202,21,2,2,9.0,8.0,4.0,51.0,1,87.973,3
203,21,3,3,5.5,1.0,25.0,51.0,1,88.563,10
204,21,4,4,6.0,9.0,2.0,51.0,1,88.621,8
205,21,5,5,1.0,7.0,6.0,51.0,1,88.589,8
206,21,6,6,7.0,4.0,12.0,51.0,1,88.08,5
207,21,7,1,5.0,6.0,8.0,51.0,1,88.65899999999999,10
208,21,8,2,5.5,10.0,1.0,51.0,1,88.577,6
209,21,9,3,4.0,2.0,18.0,51.0,1,88.426,8
210,21,10,4,8.0,3.0,15.0,51.0,1,88.158,3
211,22,1,1,1.0,1.0,25.0,53.0,1,91.975,10
212,22,2,2,2.0,2.0,18.0,53.0,1,92.815,8
213,22,3,3,5.0,9.0,2.0,53.0,1,93.74000000000001,5
214,22,4,4,7.0,8.0,4.0,53.0,1,92.363,4
215,22,5,5,9.0,3.0,15.0,53.0,1,91.881,1
216,22,6,6,10.0,10.0,1.0,53.0,1,91.996,4
217,22,7,1,8.0,4.0,12.0,53.0,1,92.297,1
218,22,8,2,4.0,7.0,6.0,53.0,1,92.22399999999999,1
219,22,9,3,3.0,5.0,10.0,53.0,1,92.295,7
220,22,10,4,6.0,6.0,8.0,53.0,1,92.634,10
221,23,1,1,8.0,3.0,15.0,61.0,1,91.39699999999999,7
222,23,2,2,9.0,10.0,1.0,61.0,1,90.84,8
223,23,3,3,1.0,9.0,2.0,61.0,1,91.667,7
224,23,4,4,10.0,8.0,4.0,61.0,1,90.404,3
225,23,5,5,5.0,5.0,10.0,61.0,1,90.73400000000001,10
226,23,6,6,7.0,7.0,6.0,61.0,1,91.313,8
227,23,7,1,6.0,5.0,0.0,46.0,5,91.253,6
