Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,FreshTyre,Sector1Time,Sector2Time,Sector3Time,SpeedFL,SpeedST,TrackStatus,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,IsPersonalBest
VER,RED BULL RACING,1.0,99.019,1.0,SOFT,4.0,FALSE,31.345,42.414,23.842,278.0,278.25,12,27.3,31.2,22.0,FALSE,0.5,FALSE
VER,RED BULL RACING,2.0,97.974,1.0,SOFT,5.0,FALSE,31.342,42.504,24.128,278.0,288.0,12,27.3,31.1,22.0,FALSE,0.10000000000000009,TRUE
VER,RED BULL RACING,3.0,98.006,1.0,SOFT,6.0,FALSE,31.388,42.469,24.149,278.0,287.0,1,27.3,31.2,22.0,FALSE,0.6,FALSE
VER,RED BULL RACING,4.0,97.976,1.0,SOFT,7.0,FALSE,31.271,42.642,24.063,278.0,289.0,1,27.3,31.2,22.0,FALSE,0.4,FALSE
VER,RED BULL RACING,5.0,98.035,1.0,SOFT,8.0,FALSE,31.244,42.724,24.067,278.0,290.0,1,27.2,31.0,22.0,FALSE,0.8999999999999999,FALSE
VER,RED BULL RACING,6.0,97.986,1.0,SOFT,9.0,FALSE,31.341,42.632,24.013,279.0,291.0,1,27.1,31.0,22.0,FALSE,0.6,FALSE
VER,RED BULL RACING,7.0,98.021,1.0,SOFT,10.0,FALSE,31.29,42.763,23.968,279.0,293.0,1,27.1,30.9,22.0,FALSE,0.6,FALSE
VER,RED BULL RACING,8.0,98.154,1.0,SOFT,11.0,FALSE,31.291,42.833,24.03,279.0,293.0,1,27.1,30.9,21.0,FALSE,0.8999999999999999,FALSE
VER,RED BULL RACING,9.0,98.278,1.0,SOFT,12.0,FALSE,31.336,42.823,24.119,279.0,293.0,1,27.1,30.9,21.0,FALSE,0.6,FALSE
VER,RED BULL RACING,10.0,98.369,1.0,SOFT,13.0,FALSE,31.361,42.884,24.124,279.0,293.0,1,27.1,30.8,21.0,FALSE,0.8,FALSE
VER,RED BULL RACING,11.0,98.483,1.0,SOFT,14.0,FALSE,31.342,42.978,24.163,278.0,292.0,1,27.2,30.6,21.0,FALSE,0.6,FALSE
VER,RED BULL RACING,12.0,98.591,1.0,SOFT,15.0,FALSE,31.408,42.951,24.232,278.0,294.0,1,27.1,30.6,21.0,FALSE,0.8,FALSE
VER,RED BULL RACING,13.0,98.482,1.0,SOFT,16.0,FALSE,31.389,42.907,24.186,278.0,292.0,1,27.1,30.5,21.0,FALSE,0.8999999999999999,FALSE
VER,RED BULL RACING,14.0,101.295,1.0,SOFT,17.0,FALSE,31.427,42.876,25.372,281.0,292.0,1,27.1,30.5,21.0,FALSE,0.8,FALSE
VER,RED BULL RACING,15.0,103.98474999999999,2.0,SOFT,1.0,FALSE,32.42699999999999,42.629,23.895,279.0,278.25,1,27.1,30.5,21.0,FALSE,0.8,FALSE
VER,RED BULL RACING,16.0,97.801,2.0,SOFT,2.0,FALSE,31.209,42.711,23.881,280.0,287.0,1,27.0,30.5,21.0,FALSE,0.6,TRUE
VER,RED BULL RACING,17.0,97.648,2.0,SOFT,3.0,FALSE,31.17,42.623,23.855,280.0,293.0,1,27.0,30.3,20.0,FALSE,0.6,TRUE
VER,RED BULL RACING,18.0,97.614,2.0,SOFT,4.0,FALSE,31.211,42.569,23.834,280.0,286.0,1,27.0,30.3,21.0,FALSE,0.6,TRUE
VER,RED BULL RACING,19.0,97.712,2.0,SOFT,5.0,FALSE,31.243,42.608,23.861,280.0,289.0,1,26.9,30.3,21.0,FALSE,0.4,FALSE
VER,RED BULL RACING,20.0,97.788,2.0,SOFT,6.0,FALSE,31.186,42.766,23.836,280.0,291.0,1,26.9,30.2,21.0,FALSE,0.6,FALSE
VER,RED BULL RACING,21.0,97.582,2.0,SOFT,7.0,FALSE,31.168,42.572,23.842,280.0,293.0,1,26.9,30.2,21.0,FALSE,0.4,TRUE
VER,RED BULL RACING,22.0,97.651,2.0,SOFT,8.0,FALSE,31.224,42.548,23.879,281.0,292.0,1,26.8,30.1,21.0,FALSE,0.5,FALSE
VER,RED BULL RACING,23.0,97.552,2.0,SOFT,9.0,FALSE,31.153,42.514,23.885,281.0,294.0,1,26.7,30.0,21.0,FALSE,0.5,TRUE
VER,RED BULL RACING,24.0,97.387,2.0,SOFT,10.0,FALSE,31.145,42.398,23.844,280.0,289.0,1,26.7,29.9,21.0,FALSE,0.4,TRUE
VER,RED BULL RACING,25.0,97.372,2.0,SOFT,11.0,FALSE,31.145,42.344,23.883,281.0,292.0,1,26.7,29.9,21.0,FALSE,0.6,TRUE
VER,RED BULL RACING,26.0,97.682,2.0,SOFT,12.0,FALSE,31.213,42.533,23.936,281.0,283.0,1,26.7,29.9,21.0,FALSE,0.5,FALSE
VER,RED BULL RACING,27.0,97.379,2.0,SOFT,13.0,FALSE,31.079,42.349,23.951,281.0,295.0,1,26.7,29.9,21.0,FALSE,0.6,FALSE
VER,RED BULL RACING,28.0,97.651,2.0,SOFT,14.0,FALSE,31.112,42.554,23.985,281.0,295.0,1,26.8,29.9,21.0,FALSE,0.5,FALSE
VER,RED BULL RACING,29.0,97.571,2.0,SOFT,15.0,FALSE,31.045,42.533,23.993,283.0,296.0,1,26.7,29.9,21.0,FALSE,0.8,FALSE
