Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,FreshTyre,Sector1Time,Sector2Time,Sector3Time,SpeedFL,SpeedST,TrackStatus,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,IsPersonalBest
VER,Red Bull Racing,1.0,99.019,1.0,SOFT,4.0,False,,42.414,23.842,278.0,252.0,12,27.3,31.2,22.0,False,0.5,False
VER,Red Bull Racing,2.0,97.974,1.0,SOFT,5.0,False,31.342,42.504,24.128,278.0,288.0,12,27.3,31.1,22.0,False,0.0,True
VER,Red Bull Racing,3.0,98.006,1.0,SOFT,6.0,False,31.388,42.469,24.149,278.0,287.0,1,27.3,31.2,22.0,False,0.6,False
VER,Red Bull Racing,4.0,97.976,1.0,SOFT,7.0,False,31.271,42.642,24.063,278.0,289.0,1,27.3,31.2,22.0,False,0.4,False
VER,Red Bull Racing,5.0,98.035,1.0,SOFT,8.0,False,31.244,42.724,24.067,278.0,290.0,1,27.2,31.0,22.0,False,1.0,False
VER,Red Bull Racing,6.0,97.986,1.0,SOFT,9.0,False,31.341,42.632,24.013,279.0,291.0,1,27.1,31.0,22.0,False,0.6,False
VER,Red Bull Racing,7.0,98.021,1.0,SOFT,10.0,False,31.29,42.763,23.968,279.0,293.0,1,27.1,30.9,22.0,False,0.6,False
VER,Red Bull Racing,8.0,98.154,1.0,SOFT,11.0,False,31.291,42.833,24.03,279.0,293.0,1,27.1,30.9,21.0,False,1.0,False
VER,Red Bull Racing,9.0,98.278,1.0,SOFT,12.0,False,31.336,42.823,24.119,279.0,293.0,1,27.1,30.9,21.0,False,0.6,False
VER,Red Bull Racing,10.0,98.369,1.0,SOFT,13.0,False,31.361,42.884,24.124,279.0,293.0,1,27.1,30.8,21.0,False,0.8,False
VER,Red Bull Racing,11.0,98.483,1.0,SOFT,14.0,False,31.342,42.978,24.163,278.0,292.0,1,27.2,30.6,21.0,False,0.6,False
VER,Red Bull Racing,12.0,98.591,1.0,SOFT,15.0,False,31.408,42.951,24.232,278.0,294.0,1,27.1,30.6,21.0,False,0.8,False
VER,Red Bull Racing,13.0,98.482,1.0,SOFT,16.0,False,31.389,42.907,24.186,278.0,292.0,1,27.1,30.5,21.0,False,1.0,False
VER,Red Bull Racing,14.0,101.295,1.0,SOFT,17.0,False,31.427,42.876,26.992,,292.0,1,27.1,30.5,21.0,False,0.8,False
VER,Red Bull Racing,15.0,118.378,2.0,SOFT,1.0,False,51.854,42.629,23.895,279.0,218.0,1,27.1,30.5,21.0,False,0.8,False
VER,Red Bull Racing,16.0,97.801,2.0,SOFT,2.0,False,31.209,42.711,23.881,280.0,287.0,1,27.0,30.5,21.0,False,0.6,True
VER,Red Bull Racing,17.0,97.648,2.0,SOFT,3.0,False,31.17,42.623,23.855,280.0,293.0,1,27.0,30.3,20.0,False,0.6,True
VER,Red Bull Racing,18.0,97.614,2.0,SOFT,4.0,False,31.211,42.569,23.834,280.0,286.0,1,27.0,30.3,21.0,False,0.6,True
VER,Red Bull Racing,19.0,97.712,2.0,SOFT,5.0,False,31.243,42.608,23.861,280.0,289.0,1,26.9,30.3,21.0,False,0.4,False
VER,Red Bull Racing,20.0,97.788,2.0,SOFT,6.0,False,31.186,42.766,23.836,280.0,291.0,1,26.9,30.2,21.0,False,0.6,False
VER,Red Bull Racing,21.0,97.582,2.0,SOFT,7.0,False,31.168,42.572,23.842,280.0,293.0,1,26.9,30.2,21.0,False,0.4,True
VER,Red Bull Racing,22.0,97.651,2.0,SOFT,8.0,False,31.224,42.548,23.879,281.0,292.0,1,26.8,30.1,21.0,False,0.5,False
VER,Red Bull Racing,23.0,97.552,2.0,SOFT,9.0,False,31.153,42.514,23.885,281.0,294.0,1,26.7,30.0,21.0,False,0.5,True
VER,Red Bull Racing,24.0,97.387,2.0,SOFT,10.0,False,31.145,42.398,23.844,280.0,289.0,1,26.7,29.9,21.0,False,0.4,True
VER,Red Bull Racing,25.0,97.372,2.0,SOFT,11.0,False,31.145,42.344,23.883,281.0,292.0,1,26.7,29.9,21.0,False,0.6,True
VER,Red Bull Racing,26.0,97.682,2.0,SOFT,12.0,False,31.213,42.533,23.936,281.0,283.0,1,26.7,29.9,21.0,False,0.5,False
VER,Red Bull Racing,27.0,97.379,2.0,SOFT,13.0,False,31.079,42.349,23.951,281.0,295.0,1,26.7,29.9,21.0,False,0.6,False
VER,Red Bull Racing,28.0,97.651,2.0,SOFT,14.0,False,31.112,42.554,23.985,281.0,295.0,1,26.8,29.9,21.0,False,0.5,False
VER,Red Bull Racing,29.0,97.571,2.0,SOFT,15.0,False,31.045,42.533,23.993,283.0,296.0,1,26.7,29.9,21.0,False,0.8,False
VER,Red Bull Racing,30.0,97.549,2.0,SOFT,16.0,False,31.185,42.443,23.921,283.0,299.0,1,26.6,29.7,21.0,False,0.6,False
VER,Red Bull Racing,31.0,97.431,2.0,SOFT,17.0,False,31.04,42.464,23.927,282.0,298.0,1,26.7,29.7,21.0,False,0.6,False
VER,Red Bull Racing,32.0,97.691,2.0,SOFT,18.0,False,31.139,42.523,24.029,283.0,300.0,1,26.7,29.6,21.0,False,0.6,False
VER,Red Bull Racing,33.0,97.686,2.0,SOFT,19.0,False,31.112,42.505,24.069,282.0,301.0,1,26.7,29.6,21.0,False,0.6,False
VER,Red Bull Racing,34.0,97.839,2.0,SOFT,20.0,False,31.129,42.615,24.095,283.0,299.0,1,26.7,29.6,21.0,False,0.5,False
VER,Red Bull Racing,35.0,97.85,2.0,SOFT,21.0,False,31.211,42.5,24.139,282.0,303.0,1,26.6,29.6,21.0,False,0.5,False
VER,Red Bull Racing,36.0,100.964,2.0,SOFT,22.0,False,31.35,42.582,27.032,,299.0,1,26.7,29.6,21.0,False,0.4,False
VER,Red Bull Racing,37.0,118.49,3.0,HARD,1.0,True,52.755,42.071,23.664,281.0,215.0,1,26.6,29.6,21.0,False,0.4,False
VER,Red Bull Racing,38.0,96.297,3.0,HARD,2.0,True,31.034,41.772,23.491,281.0,288.0,1,26.6,29.5,21.0,False,0.4,True
VER,Red Bull Racing,39.0,96.446,3.0,HARD,3.0,True,30.818,42.125,23.503,282.0,288.0,1,26.5,29.5,21.0,False,0.0,False
VER,Red Bull Racing,40.0,96.942,3.0,HARD,4.0,True,31.175,42.247,23.52,282.0,286.0,1,26.5,29.5,21.0,False,0.4,False
VER,Red Bull Racing,41.0,120.495,3.0,HARD,5.0,True,31.381,55.533,33.581,225.0,286.0,126,26.5,29.5,21.0,False,0.4,False
VER,Red Bull Racing,42.0,104.824,3.0,HARD,6.0,True,38.946,42.174,23.704,282.0,236.0,671,26.5,29.3,21.0,False,0.0,False
VER,Red Bull Racing,43.0,96.89,3.0,HARD,7.0,True,31.13,42.295,23.465,282.0,290.0,1,26.4,29.3,21.0,False,0.0,False
VER,Red Bull Racing,44.0,96.236,3.0,HARD,8.0,True,30.783,42.005,23.448,283.0,296.0,1,26.4,29.2,21.0,False,0.0,True
VER,Red Bull Racing,45.0,97.015,3.0,HARD,9.0,True,31.079,42.221,23.715,281.0,294.0,1,26.4,29.2,21.0,False,0.3,False
VER,Red Bull Racing,46.0,96.701,3.0,HARD,10.0,True,31.03,42.003,23.668,282.0,290.0,1,26.4,29.1,21.0,False,0.6,False
VER,Red Bull Racing,47.0,97.009,3.0,HARD,11.0,True,31.094,42.205,23.71,282.0,293.0,1,26.4,29.0,21.0,False,0.3,False
VER,Red Bull Racing,48.0,96.918,3.0,HARD,12.0,True,31.01,42.199,23.709,284.0,294.0,1,26.4,29.0,21.0,False,0.0,False
VER,Red Bull Racing,49.0,96.962,3.0,HARD,13.0,True,31.124,42.026,23.812,279.0,299.0,1,26.3,29.0,21.0,False,0.0,False
VER,Red Bull Racing,50.0,97.25,3.0,HARD,14.0,True,31.07,42.375,23.805,281.0,296.0,1,26.4,29.0,21.0,False,0.6,False
VER,Red Bull Racing,51.0,97.427,3.0,HARD,15.0,True,31.154,42.202,24.071,279.0,295.0,1,26.3,29.0,21.0,False,0.0,False
VER,Red Bull Racing,52.0,96.919,3.0,HARD,16.0,True,31.033,42.133,23.753,280.0,297.0,1,26.3,28.9,21.0,False,0.3,False
VER,Red Bull Racing,53.0,96.89,3.0,HARD,17.0,True,30.906,42.217,23.767,280.0,293.0,1,26.3,28.9,21.0,False,0.0,False
VER,Red Bull Racing,54.0,96.678,3.0,HARD,18.0,True,30.988,41.938,23.752,280.0,297.0,1,26.3,28.8,21.0,False,0.4,False
VER,Red Bull Racing,55.0,96.322,3.0,HARD,19.0,True,30.964,41.747,23.611,282.0,295.0,1,26.2,28.8,21.0,False,0.3,False
VER,Red Bull Racing,56.0,97.205,3.0,HARD,20.0,True,31.091,42.27,23.844,282.0,294.0,1,26.2,28.8,21.0,False,0.5,False
VER,Red Bull Racing,57.0,96.373,3.0,HARD,21.0,True,30.96,41.763,23.65,253.0,295.0,1,26.3,28.7,21.0,False,0.6,False
GAS,Alpine,1.0,109.649,1.0,SOFT,1.0,True,,46.78,25.135,281.0,271.0,12,27.3,31.2,22.0,False,0.5,False
GAS,Alpine,2.0,100.438,1.0,SOFT,2.0,True,31.738,43.938,24.762,280.0,298.0,21,27.3,31.1,22.0,False,0.0,True
GAS,Alpine,3.0,100.643,1.0,SOFT,3.0,True,31.8,44.083,24.76,286.0,285.0,1,27.3,31.2,22.0,False,0.6,False
GAS,Alpine,4.0,100.894,1.0,SOFT,4.0,True,31.514,44.492,24.888,284.0,311.0,1,27.2,31.1,22.0,False,0.8,False
GAS,Alpine,5.0,100.818,1.0,SOFT,5.0,True,31.705,44.192,24.921,285.0,299.0,1,27.2,31.0,22.0,False,1.0,False
GAS,Alpine,6.0,101.11,1.0,SOFT,6.0,True,31.573,44.534,25.003,284.0,313.0,1,27.1,31.0,22.0,False,0.6,False
GAS,Alpine,7.0,101.134,1.0,SOFT,7.0,True,31.604,44.49,25.04,285.0,308.0,1,27.1,30.9,21.0,False,0.6,False
GAS,Alpine,8.0,101.173,1.0,SOFT,8.0,True,31.773,44.275,25.125,285.0,305.0,1,27.1,30.9,21.0,False,1.0,False
GAS,Alpine,9.0,104.201,1.0,SOFT,9.0,True,31.843,44.538,27.82,,303.0,1,27.2,30.8,21.0,False,0.6,False
GAS,Alpine,10.0,121.262,2.0,HARD,1.0,True,54.574,42.66,24.028,278.0,215.0,1,27.1,30.8,21.0,False,0.8,False
GAS,Alpine,11.0,98.762,2.0,HARD,2.0,True,31.455,43.098,24.209,280.0,294.0,1,27.1,30.6,21.0,False,0.8,True
GAS,Alpine,12.0,98.928,2.0,HARD,3.0,True,31.57,43.066,24.292,279.0,288.0,1,27.1,30.6,21.0,False,1.2,False
GAS,Alpine,13.0,99.349,2.0,HARD,4.0,True,31.744,43.26,24.345,280.0,296.0,1,27.1,30.5,21.0,False,0.8,False
GAS,Alpine,14.0,98.859,2.0,HARD,5.0,True,31.518,43.043,24.298,280.0,303.0,1,27.1,30.5,21.0,False,0.8,False
GAS,Alpine,15.0,98.985,2.0,HARD,6.0,True,31.398,43.252,24.335,280.0,302.0,1,27.1,30.5,21.0,False,0.6,False
GAS,Alpine,16.0,98.945,2.0,HARD,7.0,True,31.514,43.137,24.294,280.0,302.0,1,27.0,30.4,21.0,False,0.8,False
GAS,Alpine,17.0,99.011,2.0,HARD,8.0,True,31.527,43.151,24.333,280.0,301.0,1,27.0,30.3,21.0,False,0.6,False
GAS,Alpine,18.0,99.029,2.0,HARD,9.0,True,31.515,43.068,24.446,279.0,300.0,1,27.0,30.3,21.0,False,0.6,False
GAS,Alpine,19.0,99.066,2.0,HARD,10.0,True,31.571,43.098,24.397,280.0,299.0,1,26.9,30.3,20.0,False,0.6,False
GAS,Alpine,20.0,99.017,2.0,HARD,11.0,True,31.481,43.179,24.357,279.0,301.0,1,26.9,30.2,21.0,False,0.4,False
GAS,Alpine,21.0,99.327,2.0,HARD,12.0,True,31.671,43.328,24.328,280.0,300.0,1,26.9,30.1,21.0,False,0.6,False
GAS,Alpine,22.0,99.485,2.0,HARD,13.0,True,31.609,43.483,24.393,280.0,302.0,1,26.8,30.0,21.0,False,0.4,False
GAS,Alpine,23.0,99.263,2.0,HARD,14.0,True,31.538,43.32,24.405,281.0,302.0,1,26.7,29.9,21.0,False,0.4,False
GAS,Alpine,24.0,99.761,2.0,HARD,15.0,True,31.721,43.505,24.535,281.0,302.0,1,26.7,29.9,21.0,False,0.8,False
GAS,Alpine,25.0,102.288,2.0,HARD,16.0,True,31.613,43.531,27.144,,303.0,1,26.7,29.9,21.0,False,0.6,False
GAS,Alpine,26.0,119.404,3.0,HARD,1.0,True,53.105,42.4,23.899,280.0,215.0,1,26.7,29.9,21.0,False,0.6,False
GAS,Alpine,27.0,98.729,3.0,HARD,2.0,True,31.836,42.851,24.042,286.0,297.0,1,26.8,29.9,21.0,False,0.5,True
GAS,Alpine,28.0,97.761,3.0,HARD,3.0,True,31.006,42.656,24.099,281.0,317.0,1,26.7,29.9,21.0,False,0.8,True
GAS,Alpine,29.0,98.012,3.0,HARD,4.0,True,31.178,42.696,24.138,286.0,302.0,1,26.6,29.7,21.0,False,0.6,False
GAS,Alpine,30.0,97.76,3.0,HARD,5.0,True,30.885,42.716,24.159,287.0,319.0,1,26.7,29.8,21.0,False,0.6,True
GAS,Alpine,31.0,97.968,3.0,HARD,6.0,True,30.971,42.877,24.12,287.0,320.0,1,26.7,29.6,21.0,False,0.6,False
GAS,Alpine,32.0,98.012,3.0,HARD,7.0,True,30.969,42.824,24.219,286.0,320.0,1,26.7,29.6,21.0,False,0.6,False
GAS,Alpine,33.0,97.974,3.0,HARD,8.0,True,30.942,42.828,24.204,287.0,320.0,1,26.7,29.6,21.0,False,0.6,False
GAS,Alpine,34.0,98.022,3.0,HARD,9.0,True,30.947,42.874,24.201,286.0,321.0,1,26.6,29.6,21.0,False,0.5,False
GAS,Alpine,35.0,98.088,3.0,HARD,10.0,True,31.01,42.851,24.227,286.0,320.0,1,26.7,29.6,21.0,False,0.4,False
GAS,Alpine,36.0,98.184,3.0,HARD,11.0,True,31.045,42.821,24.318,286.0,318.0,1,26.6,29.6,21.0,False,0.5,False
GAS,Alpine,37.0,98.133,3.0,HARD,12.0,True,31.117,42.864,24.152,286.0,318.0,1,26.6,29.5,21.0,False,0.4,False
GAS,Alpine,38.0,98.108,3.0,HARD,13.0,True,31.025,42.822,24.261,286.0,317.0,1,26.5,29.5,21.0,False,0.0,False
GAS,Alpine,39.0,98.537,3.0,HARD,14.0,True,31.183,43.08,24.274,285.0,319.0,1,26.5,29.5,21.0,False,0.6,False
GAS,Alpine,40.0,109.707,3.0,HARD,15.0,True,31.156,42.984,35.567,,318.0,126,26.5,29.5,21.0,False,0.4,False
GAS,Alpine,41.0,128.544,4.0,SOFT,1.0,True,60.744,44.327,23.473,289.0,208.0,671,26.5,29.3,21.0,False,0.0,False
GAS,Alpine,42.0,95.068,4.0,SOFT,2.0,True,30.069,41.393,23.606,281.0,327.0,1,26.4,29.3,21.0,False,0.0,True
GAS,Alpine,43.0,95.942,4.0,SOFT,3.0,True,30.776,41.677,23.489,281.0,295.0,1,26.4,29.3,21.0,False,0.8,False
GAS,Alpine,44.0,95.792,4.0,SOFT,4.0,True,30.785,41.542,23.465,280.0,296.0,1,26.4,29.2,21.0,False,0.3,False
GAS,Alpine,45.0,96.186,4.0,SOFT,5.0,True,30.874,41.775,23.537,281.0,294.0,1,26.4,29.1,21.0,False,0.6,False
GAS,Alpine,46.0,96.041,4.0,SOFT,6.0,True,30.831,41.707,23.503,281.0,297.0,1,26.4,29.1,21.0,False,0.0,False
GAS,Alpine,47.0,96.12,4.0,SOFT,7.0,True,30.806,41.735,23.579,281.0,298.0,1,26.4,29.0,21.0,False,0.0,False
GAS,Alpine,48.0,96.368,4.0,SOFT,8.0,True,30.909,41.693,23.766,281.0,296.0,1,26.4,29.0,21.0,False,0.3,False
GAS,Alpine,49.0,96.803,4.0,SOFT,9.0,True,31.008,42.102,23.693,281.0,297.0,1,26.4,29.0,21.0,False,0.6,False
GAS,Alpine,50.0,96.551,4.0,SOFT,10.0,True,30.972,41.874,23.705,281.0,297.0,1,26.3,29.0,21.0,False,0.0,False
GAS,Alpine,51.0,96.635,4.0,SOFT,11.0,True,30.941,41.896,23.798,281.0,296.0,1,26.3,28.9,21.0,False,0.0,False
GAS,Alpine,52.0,96.891,4.0,SOFT,12.0,True,30.878,42.136,23.877,281.0,298.0,1,26.3,28.9,21.0,False,0.0,False
