Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,FreshTyre,Sector1Time,Sector2Time,Sector3Time,SpeedFL,SpeedST,TrackStatus,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,IsPersonalBest
HAM,Mercedes,1,90.2,1,SOFT,1,True,27.033,37.824,25.343,297.8,320.2,1,24.3,36.0,50.8,False,5.7,False
HAM,Mercedes,2,90.294,1,SOFT,2,False,27.078,37.9,25.317,290.2,313.8,1,24.9,37.1,53.7,False,2.9,False
HAM,Mercedes,3,90.233,1,SOFT,3,False,27.081,37.835,25.316,292.1,329.8,1,24.1,38.0,47.0,False,1.8,False
HAM,Mercedes,4,90.382,1,SOFT,4,False,27.172,37.924,25.286,276.6,301.9,1,24.0,38.8,49.6,False,2.5,False
HAM,Mercedes,5,90.774,1,SOFT,5,False,27.205,38.089,25.48,301.2,321.8,1,24.7,39.6,37.9,False,1.9,False
HAM,Mercedes,6,90.645,1,SOFT,6,False,27.204,38.068,25.373,280.4,329.7,1,22.1,38.6,61.7,False,5.2,False
HAM,Mercedes,7,90.746,1,SOFT,7,False,27.221,38.119,25.407,296.9,323.1,1,24.0,40.6,52.4,False,0.7,False
HAM,Mercedes,8,91.032,1,SOFT,8,False,27.312,38.276,25.443,287.3,309.9,1,25.3,31.1,49.0,False,2.9,False
HAM,Mercedes,9,91.061,1,SOFT,9,False,27.29,38.245,25.526,288.9,338.6,1,22.5,31.1,67.4,False,1.3,False
HAM,Mercedes,10,91.33,1,SOFT,10,False,27.378,38.304,25.648,281.4,324.3,1,23.2,,47.7,False,5.6,False
HAM,Mercedes,11,91.148,1,SOFT,11,False,27.314,38.314,25.521,297.9,315.3,1,22.9,41.2,46.0,False,1.7,False
HAM,Mercedes,12,91.306,1,SOFT,12,False,27.377,38.289,25.64,290.3,319.1,1,23.1,40.3,56.2,False,2.7,False
HAM,Mercedes,13,91.36,1,SOFT,13,False,27.362,38.335,25.663,283.0,319.1,1,22.8,40.3,68.6,False,3.9,False
HAM,Mercedes,14,91.514,1,SOFT,14,False,27.511,38.431,25.572,290.8,327.4,1,21.9,39.4,52.2,False,3.8,True
HAM,Mercedes,15,91.553,1,SOFT,15,False,27.44,38.41,25.703,297.1,336.9,1,22.7,38.7,56.7,False,4.8,False
HAM,Mercedes,16,,1,SOFT,16,False,27.431,38.438,25.585,293.8,314.0,1,26.0,38.3,64.1,False,5.8,False
HAM,Mercedes,17,91.69,1,SOFT,17,False,27.469,38.475,25.745,296.9,328.3,1,25.1,39.3,50.2,False,2.4,False
HAM,Mercedes,18,91.676,1,SOFT,18,False,27.521,38.445,25.71,308.5,332.0,1,22.2,39.7,58.5,False,2.4,False
HAM,Mercedes,19,91.859,1,SOFT,19,False,27.555,38.596,25.708,293.4,322.9,1,24.5,40.3,46.6,False,3.5,False
HAM,Mercedes,20,92.215,1,SOFT,20,False,27.711,38.747,25.757,287.7,328.2,1,25.0,34.1,57.2,False,3.0,False
HAM,Mercedes,21,92.092,1,SOFT,21,False,27.679,38.615,25.798,287.1,326.8,1,25.0,40.1,52.5,False,0.0,False
HAM,Mercedes,22,92.374,1,SOFT,22,False,27.708,38.798,25.868,291.5,306.9,1,24.8,35.2,40.1,False,4.9,False
HAM,Mercedes,23,92.273,1,SOFT,23,False,27.74,38.688,25.846,301.0,328.6,1,24.4,43.5,43.3,False,5.5,False
HAM,Mercedes,24,92.449,1,SOFT,24,False,27.723,38.848,25.878,286.7,316.6,1,23.0,40.6,53.7,False,5.8,False
HAM,Mercedes,25,92.225,1,SOFT,25,False,27.692,38.702,25.832,287.8,321.4,1,22.4,36.7,47.1,False,3.2,False
HAM,Mercedes,26,92.522,1,SOFT,26,False,27.808,38.876,25.839,293.5,331.0,1,26.8,41.5,60.2,False,2.5,False
HAM,Mercedes,27,92.772,1,SOFT,27,False,27.827,38.967,25.978,282.9,316.3,1,22.3,41.2,43.4,False,4.3,False
HAM,Mercedes,28,90.664,2,MEDIUM,1,True,27.179,38.09,25.395,285.0,325.1,1,24.0,38.5,62.3,False,3.4,False
HAM,Mercedes,29,90.462,2,MEDIUM,2,False,27.18,37.98,25.301,306.6,326.7,1,23.9,36.5,36.3,False,0.3,True
HAM,Mercedes,30,90.874,2,MEDIUM,3,False,27.266,38.201,25.407,283.9,318.0,1,24.9,36.0,43.8,False,5.9,False
HAM,Mercedes,31,90.727,2,MEDIUM,4,False,27.252,38.071,25.404,287.3,330.7,1,22.8,38.6,35.3,False,5.8,False
HAM,Mercedes,32,90.766,2,MEDIUM,5,False,27.22,38.133,25.413,294.4,324.2,1,26.1,39.7,61.0,False,1.4,False
HAM,Mercedes,33,90.819,2,MEDIUM,6,False,27.233,38.175,25.411,285.0,331.1,1,25.7,38.1,54.2,False,2.7,False
HAM,Mercedes,34,91.02,2,MEDIUM,7,False,27.314,38.267,25.438,292.9,320.2,1,25.6,37.0,54.7,False,2.3,True
HAM,Mercedes,35,90.775,2,MEDIUM,8,False,27.232,38.095,25.448,294.2,343.7,1,23.7,40.3,59.3,False,1.9,False
HAM,Mercedes,36,91.0,2,MEDIUM,9,False,27.287,38.245,25.469,285.6,314.9,1,25.1,41.2,65.8,False,1.4,False
HAM,Mercedes,37,91.082,2,MEDIUM,10,False,27.338,38.229,25.515,295.2,322.8,1,24.4,41.0,55.7,False,3.5,False
