resultId,raceId,driverId,constructorId,grid,position,points,laps,statusId,fastestLapTime,rank
1,1,1,1,7.0,3.0,15.0,51,1,1:31.196,4
2,1,2,2,8.0,10.0,1.0,51,1,1:30.908,2
3,1,3,3,1.0,7.0,6.0,51,1,1:31.770,7
4,1,4,4,9.0,5.0,10.0,51,1,1:31.092,5
5,1,5,5,4.0,8.0,4.0,51,1,1:30.894,5
6,1,6,6,6.0,,0.0,37,14,1:31.448,2
7,1,7,1,3.0,,0.0,28,11,1:30.787,5
8,1,8,2,5.0,2.0,18.0,51,1,1:30.668,1
9,1,9,3,10.0,4.0,12.0,51,1,1:31.429,3
10,1,10,4,2.0,9.0,2.0,51,1,1:30.515,6
11,2,1,1,10.0,3.0,15.0,70,1,1:17.960,2
12,2,2,2,3.0,5.0,10.0,70,1,1:18.377,9
13,2,3,3,1.0,2.0,18.0,70,1,1:17.756,10
14,2,4,4,7.0,6.0,8.0,70,1,1:17.478,10
15,2,5,5,2.0,,0.0,42,19,1:18.463,5
16,2,6,6,4.0,10.0,1.0,70,1,1:18.187,7
17,2,7,1,8.0,4.0,12.0,70,1,1:18.023,8
18,2,8,2,,7.0,6.0,70,1,1:17.811,4
19,2,9,3,9.0,9.0,2.0,70,1,1:17.664,4
20,2,10,4,,1.0,25.0,70,1,1:17.209,8
21,3,1,1,10.0,9.0,2.0,55,1,1:27.169,5
22,3,2,2,5.0,4.0,12.0,55,1,1:28.586,6
23,3,3,3,9.0,5.0,10.0,55,1,1:28.367,3
24,3,4,4,2.0,8.0,4.0,55,1,1:28.805,9
25,3,5,5,3.0,2.0,18.0,55,1,1:28.302,8
26,3,6,6,6.0,6.0,8.0,55,1,1:28.359,7
27,3,7,1,7.0,,0.0,35,12,1:28.160,5
28,3,8,2,4.0,10.0,1.0,55,1,1:28.084,2
29,3,9,3,1.0,3.0,15.0,55,1,1:27.864,3
30,3,10,4,8.0,1.0,25.0,55,1,1:28.318,2
31,4,1,1,2.0,,0.0,15,14,1:22.109,2
32,4,2,2,1.0,1.0,25.0,68,1,1:22.016,4
33,4,3,3,4.0,8.0,4.0,68,1,1:21.301,7
34,4,4,4,6.0,3.0,15.0,68,1,1:22.188,10
35,4,5,5,9.0,,0.0,63,15,1:21.563,2
36,4,6,6,5.0,4.0,12.0,68,1,1:21.918,9
37,4,7,1,10.0,9.0,2.0,68,1,1:22.926,6
38,4,8,2,3.0,10.0,1.0,68,1,1:22.199,8
39,4,9,3,7.0,,0.0,24,9,1:21.952,1
40,4,10,4,8.0,7.0,6.0,68,1,1:22.053,4
41,5,1,1,7.0,4.0,12.0,64,1,1:31.155,5
42,5,2,2,3.0,7.0,6.0,64,1,1:31.253,1
43,5,3,3,6.0,2.0,18.0,64,1,1:30.698,9
44,5,4,4,1.0,8.0,4.0,64,1,1:30.928,6
45,5,5,5,8.0,9.0,2.0,64,1,1:30.364,2
46,5,6,6,10.0,3.0,15.0,64,1,1:31.187,9
47,5,7,1,2.0,1.0,25.0,64,1,1:32.040,8
48,5,8,2,4.0,5.0,10.0,64,1,1:31.254,5
49,5,9,3,5.0,10.0,1.0,64,1,1:30.931,3
50,5,10,4,9.0,6.0,8.0,64,1,1:31.032,3
51,6,1,1,10.0,3.0,15.0,55,1,1:28.798,10
52,6,2,2,3.0,4.0,12.0,55,1,1:28.276,7
53,6,3,3,1.0,2.0,18.0,55,1,1:28.282,4
54,6,4,4,2.0,9.0,2.0,55,1,1:28.990,5
55,6,5,5,6.0,10.0,1.0,55,1,1:28.579,3
56,6,6,6,9.0,5.0,10.0,55,1,1:28.371,8
57,6,7,1,8.0,8.0,4.0,55,1,1:27.907,4
58,6,8,2,7.0,7.0,6.0,55,1,1:28.760,1
59,6,9,3,4.0,6.0,8.0,55,1,1:28.359,6
60,6,10,4,5.0,1.0,25.0,55,1,1:27.875,4
61,7,1,1,5.0,3.0,15.0,56,1,1:32.436,9
62,7,2,2,7.0,10.0,1.0,56,1,1:33.516,6
63,7,3,3,1.0,7.0,6.0,56,1,1:32.492,10
64,7,4,4,4.0,4.0,12.0,56,1,1:32.300,5
65,7,5,5,10.0,1.0,25.0,56,1,1:32.168,3
66,7,6,6,8.0,9.0,2.0,56,1,1:32.116,2
67,7,7,1,3.0,2.0,18.0,56,1,1:32.584,10
68,7,8,2,9.0,6.0,8.0,56,1,1:32.371,4
69,7,9,3,6.0,8.0,4.0,56,1,1:33.147,10
70,7,10,4,2.0,5.0,10.0,56,1,1:32.374,6
71,8,1,1,10.0,10.0,1.0,55,1,1:30.389,7
72,8,2,2,5.0,5.0,10.0,55,1,1:29.289,1
73,8,3,3,8.0,4.0,12.0,55,1,1:29.204,2
74,8,4,4,3.0,,0.0,41,13,1:30.224,3
75,8,5,5,2.0,2.0,18.0,55,1,1:30.064,3
76,8,6,6,9.0,9.0,2.0,55,1,1:29.207,3
77,8,7,1,7.0,7.0,6.0,55,1,1:29.831,6
78,8,8,2,4.0,,0.0,50,8,1:29.346,5
79,8,9,3,6.0,6.0,8.0,55,1,1:29.834,4
80,8,10,4,1.0,1.0,25.0,55,1,1:30.066,5
81,9,1,1,4.0,7.0,6.0,54,1,1:18.589,7
82,9,2,2,5.0,9.0,2.0,54,1,1:17.829,2
83,9,3,3,7.0,8.0,4.0,54,1,1:18.846,7
84,9,4,4,8.0,1.0,25.0,54,1,1:18.467,5
85,9,5,5,6.0,2.0,18.0,54,1,1:18.625,10
86,9,6,6,10.0,5.0,10.0,54,1,1:18.392,10
87,9,7,1,1.0,3.0,15.0,54,1,1:18.826,10
88,9,8,2,3.0,4.0,12.0,54,1,1:18.474,1
