raceId,driverId,lap,position,time,milliseconds
1,1,1,6,1:32.117,92117.0
1,1,2,4,1:32.305,92305.0
1,1,3,5,1:32.212,
1,1,4,9,1:32.252,570660.0
1,1,5,1,1:32.085,92085.0
1,1,6,6,1:32.065,92065.0
1,1,7,3,1:32.277,92277.0
1,1,8,7,1:32.141,92141.0
1,1,9,1,1:32.074,92074.0
1,1,10,10,1:32.129,92129.0
1,1,11,8,1:32.088,92088.0
1,1,12,2,1:32.196,92196.0
1,1,13,6,1:32.167,92167.0
1,1,14,2,1:32.167,92167.0
1,1,15,4,1:32.365,92365.0
1,1,16,10,1:32.038,92038.0
1,1,17,1,1:31.994,91994.0
1,1,18,5,1:32.219,92219.0
1,1,19,7,1:32.062,92062.0
1,1,20,5,1:31.729,91729.0
1,1,21,10,1:31.898,91898.0
1,1,22,5,1:31.877,91877.0
1,1,23,5,1:31.724,91724.0
1,1,24,9,1:31.810,91810.0
1,1,25,3,1:31.814,91814.0
1,1,26,7,1:31.806,91806.0
1,1,27,9,1:31.853,91853.0
1,1,28,1,1:31.798,91798.0
1,1,29,5,1:31.831,91831.0
1,1,30,8,1:31.709,91709.0
1,1,31,6,1:31.683,91683.0
1,1,32,6,1:31.699,91699.0
1,1,33,5,1:31.903,91903.0
1,1,34,7,1:31.832,91832.0
1,1,35,1,1:31.506,91506.0
1,1,36,8,1:31.719,91719.0
1,1,37,1,1:31.762,91762.0
1,1,38,6,1:31.779,91779.0
1,1,39,4,1:31.634,91634.0
1,1,40,5,1:31.531,91531.0
1,1,41,10,1:31.397,91397.0
1,1,42,9,1:31.276,91276.0
1,1,43,9,1:31.293,91293.0
1,1,44,3,1:31.413,91413.0
1,1,45,2,1:31.470,91470.0
1,1,46,6,1:31.399,91399.0
1,1,47,5,1:31.447,91447.0
1,1,48,5,1:31.418,91418.0
1,1,49,4,1:31.276,91276.0
1,1,50,1,1:31.302,91302.0
1,1,51,7,1:31.196,91196.0
1,2,1,4,1:31.978,91978.0
1,2,2,10,1:32.177,92177.0
1,2,3,5,1:32.012,92012.0
1,2,4,3,1:32.269,92269.0
1,2,5,3,1:32.062,92062.0
1,2,6,8,1:31.985,91985.0
1,2,7,1,1:32.064,92064.0
1,2,8,1,1:32.040,92040.0
1,2,9,8,1:32.173,92173.0
1,2,10,3,1:32.117,92117.0
