Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,FreshTyre,Sector1Time,Sector2Time,Sector3Time,SpeedFL,SpeedST,TrackStatus,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,IsPersonalBest
HAM,MERCEDES,1,90.2,1,SOFT,1,TRUE,27.033,37.824,25.343,297.8,320.2,1,24.3,36.0,50.8,FALSE,5.7,FALSE
HAM,MERCEDES,2,90.294,1,SOFT,2,FALSE,27.078,37.9,25.317,290.2,313.8,1,24.9,37.1,53.7,FALSE,2.9,FALSE
HAM,MERCEDES,3,90.233,1,SOFT,3,FALSE,27.081,37.835,25.316,292.1,329.8,1,24.1,38.0,47.0,FALSE,1.8,FALSE
HAM,MERCEDES,4,90.382,1,SOFT,4,FALSE,27.172,37.924,25.286,276.6,301.9,1,24.0,38.8,49.6,FALSE,2.5,FALSE
HAM,MERCEDES,5,90.774,1,SOFT,5,FALSE,27.205,38.089,25.48,301.2,321.8,1,24.7,39.6,37.9,FALSE,1.9,FALSE
HAM,MERCEDES,6,90.645,1,SOFT,6,FALSE,27.204,38.068,25.373,280.4,329.7,1,22.1,38.6,61.7,FALSE,5.2,FALSE
HAM,MERCEDES,7,90.746,1,SOFT,7,FALSE,27.221,38.119,25.407,296.9,323.1,1,24.0,40.6,52.4,FALSE,0.7,FALSE
HAM,MERCEDES,8,91.032,1,SOFT,8,FALSE,27.312,38.276,25.443,287.3,309.9,1,25.3,31.100000000000005,49.0,FALSE,2.9,FALSE
HAM,MERCEDES,9,91.061,1,SOFT,9,FALSE,27.29,38.245,25.526,288.9,338.6,1,22.5,31.100000000000005,67.4,FALSE,1.3,FALSE
HAM,MERCEDES,10,91.33,1,SOFT,10,FALSE,27.378,38.304,25.648,281.4,324.3,1,23.2,38.0,47.7,FALSE,5.6,FALSE
HAM,MERCEDES,11,91.148,1,SOFT,11,FALSE,27.314,38.314,25.521,297.9,315.3,1,22.9,41.2,46.0,FALSE,1.7,FALSE
HAM,MERCEDES,12,91.306,1,SOFT,12,FALSE,27.377,38.289,25.64,290.3,319.1,1,23.1,40.3,56.2,FALSE,2.7,FALSE
HAM,MERCEDES,13,91.36,1,SOFT,13,FALSE,27.362,38.335,25.663,283.0,319.1,1,22.8,40.3,68.6,FALSE,3.9,FALSE
HAM,MERCEDES,14,91.514,1,SOFT,14,FALSE,27.511,38.431,25.572,290.8,327.4,1,21.9,39.4,52.2,FALSE,3.8,TRUE
HAM,MERCEDES,15,91.553,1,SOFT,15,FALSE,27.44,38.41,25.703,297.1,336.9,1,22.7,38.7,56.7,FALSE,4.8,FALSE
HAM,MERCEDES,16,91.229,1,SOFT,16,FALSE,27.431,38.438,25.585,293.8,314.0,1,26.0,38.3,64.1,FALSE,5.8,FALSE
HAM,MERCEDES,17,91.69,1,SOFT,17,FALSE,27.469,38.475,25.745,296.9,328.3,1,25.1,39.3,50.2,FALSE,2.4,FALSE
HAM,MERCEDES,18,91.676,1,SOFT,18,FALSE,27.521,38.445,25.71,308.5,332.0,1,22.2,39.7,58.5,FALSE,2.4,FALSE
HAM,MERCEDES,19,91.859,1,SOFT,19,FALSE,27.555,38.596,25.708,293.4,322.9,1,24.5,40.3,46.6,FALSE,3.5,FALSE
HAM,MERCEDES,20,92.215,1,SOFT,20,FALSE,27.711,38.747,25.757,287.7,328.2,1,25.0,34.1,57.2,FALSE,3.0,FALSE
HAM,MERCEDES,21,92.092,1,SOFT,21,FALSE,27.679,38.615,25.798,287.1,326.8,1,25.0,40.1,52.5,FALSE,0.0,FALSE
HAM,MERCEDES,22,92.374,1,SOFT,22,FALSE,27.708,38.798,25.868,291.5,306.9,1,24.8,35.2,40.1,FALSE,4.9,FALSE
HAM,MERCEDES,23,92.273,1,SOFT,23,FALSE,27.74,38.688,25.846,301.0,328.6,1,24.4,43.5,43.3,FALSE,5.5,FALSE
HAM,MERCEDES,24,92.449,1,SOFT,24,FALSE,27.723,38.848,25.878,286.7,316.6,1,23.0,40.6,53.7,FALSE,5.8,FALSE
HAM,MERCEDES,25,92.225,1,SOFT,25,FALSE,27.692,38.702,25.832,287.8,321.4,1,22.4,36.7,47.1,FALSE,3.2,FALSE
HAM,MERCEDES,26,92.522,1,SOFT,26,FALSE,27.808,38.876,25.839,293.5,331.0,1,26.8,41.5,60.2,FALSE,2.5,FALSE
HAM,MERCEDES,27,92.772,1,SOFT,27,FALSE,27.827,38.967,25.978,282.9,316.3,1,22.3,41.2,43.4,FALSE,4.3,FALSE
HAM,MERCEDES,28,90.664,2,MEDIUM,1,TRUE,27.179,38.09,25.395,285.0,325.1,1,24.0,38.5,62.3,FALSE,3.4,FALSE
HAM,MERCEDES,29,90.462,2,MEDIUM,2,FALSE,27.18,37.98,25.301,306.6,326.7,1,23.9,36.5,36.3,FALSE,0.3,TRUE
HAM,MERCEDES,30,90.874,2,MEDIUM,3,FALSE,27.266,38.201,25.407,283.9,318.0,1,24.9,36.0,43.8,FALSE,5.9,FALSE
HAM,MERCEDES,31,90.727,2,MEDIUM,4,FALSE,27.252,38.071,25.404,287.3,330.7,1,22.8,38.6,35.3,FALSE,5.8,FALSE
HAM,MERCEDES,32,90.766,2,MEDIUM,5,FALSE,27.22,38.133,25.413,294.4,324.2,1,26.1,39.7,61.0,FALSE,1.4,FALSE
