raceId,year,round,circuitId,name,date
1,2022,1,1,CIRCUIT GRAND PRIX,2022-03-20
2,2022,2,2,SILVERSTONE GRAND PRIX,2022-04-03
3,2022,3,3,AUTODROMO GRAND PRIX,2022-04-17
4,2022,4,4,CIRCUIT GRAND PRIX,2022-05-01
5,2022,5,5,SUZUKA GRAND PRIX,2022-05-15
6,2022,6,6,AUTÓDROMO GRAND PRIX,2022-05-29
7,2022,7,1,CIRCUIT GRAND PRIX,2022-06-12
8,2022,8,2,SILVERSTONE GRAND PRIX,2022-06-26
9,2022,9,3,AUTODROMO GRAND PRIX,2022-07-10
10,2022,10,4,CIRCUIT GRAND PRIX,2022-07-24
11,2022,11,5,SUZUKA GRAND PRIX,2022-08-07
12,2022,12,6,AUTÓDROMO GRAND PRIX,2022-08-21
13,2023,1,1,CIRCUIT GRAND PRIX,2022-09-04
14,2023,2,2,SILVERSTONE GRAND PRIX,2022-09-18
15,2023,3,3,AUTODROMO GRAND PRIX,2022-10-02
16,2023,4,4,CIRCUIT GRAND PRIX,2022-10-16
17,2023,5,5,SUZUKA GRAND PRIX,2022-10-30
18,2023,6,6,AUTÓDROMO GRAND PRIX,2022-11-13
19,2023,7,1,CIRCUIT GRAND PRIX,2022-11-27
20,2023,8,2,SILVERSTONE GRAND PRIX,2022-12-11
21,2023,9,3,AUTODROMO GRAND PRIX,2022-12-25
22,2023,10,4,CIRCUIT GRAND PRIX,2023-01-08
23,2023,11,5,SUZUKA GRAND PRIX,2023-01-22
24,2023,12,6,AUTÓDROMO GRAND PRIX,2023-02-05
