Driver,LapNumber,Stint,Compound,Team,driver_sai,field_median_lag1,field_pace_trend,form_vs_baseline,gap_expanding,gap_roll3_mean,race_progress,team_aston_martin,tracktemp_dev_x_tyrelife,tyre_life,tyrelife_x_medium,target_laptime,target_pit_next_lap,target_laptime_fuel_corrected
ALO,4,1,SOFT,ASTON MARTIN,0.0,90.5515,0.16450000000000387,0.1439999999999865,0.005500000000002577,0.005500000000002577,0.07272727272727272,1.0,-17.20436363636361,4.0,0.0,90.943,0,90.9536598611752
ALO,5,1,SOFT,ASTON MARTIN,0.0,90.515,-0.03650000000000375,0.316874999999996,0.11112500000000125,0.12249999999999754,0.09090909090909091,1.0,-22.505454545454526,5.0,0.0,90.879,0,90.8932131482336
ALO,6,1,SOFT,ASTON MARTIN,0.0,90.713,0.1979999999999933,0.04390000000000782,0.1221000000000032,0.24783333333333246,0.10909090909090909,1.0,-28.206545454545406,6.0,0.0,90.846,0,90.863766435292
ALO,7,1,SOFT,ASTON MARTIN,0.0,90.7765,0.06350000000000477,-0.043833333333331836,0.11333333333333684,0.2211666666666711,0.12727272727272726,1.0,15.392363636363683,7.0,0.0,91.051,0,91.0723197223504
ALO,8,1,SOFT,ASTON MARTIN,0.0,90.76050000000001,-0.015999999999991132,0.15185714285713509,0.13864285714285934,0.1753333333333368,0.14545454545454545,1.0,-11.20872727272723,8.0,0.0,90.947,0,90.9718730094088
ALO,9,1,SOFT,ASTON MARTIN,0.0,90.9435,0.18299999999999272,-0.11824999999999974,0.12175000000000225,0.12116666666666731,0.16363636363636364,1.0,-13.509818181818147,9.0,0.0,91.0,0,91.02842629646719
ALO,10,1,SOFT,ASTON MARTIN,0.0,90.98349999999999,0.03999999999999204,-0.09355555555555067,0.1100555555555584,0.10350000000000155,0.18181818181818182,1.0,-1.0109090909090668,10.0,0.0,91.066,0,91.0979795835256
ALO,11,1,SOFT,ASTON MARTIN,0.0,91.08250000000001,0.09900000000001796,-0.11390000000000952,0.09740000000000179,0.0011666666666675003,0.2,1.0,16.488000000000042,11.0,0.0,91.433,0,91.468532870584
ALO,12,1,SOFT,ASTON MARTIN,0.0,91.3165,0.23399999999999466,0.017363636363636595,0.09913636363636545,0.03883333333333402,0.21818181818181817,1.0,8.386909090909171,12.0,0.0,91.606,0,91.64508615764238
ALO,13,1,SOFT,ASTON MARTIN,0.0,91.3475,0.0309999999999917,0.1460833333333298,0.11241666666666816,0.11949999999999743,0.23636363636363636,1.0,-20.814181818181787,13.0,0.0,91.229,0,91.2716394447008
ALO,14,1,SOFT,ASTON MARTIN,0.0,91.37950000000001,0.03200000000001069,-0.24269230769231653,0.09219230769230845,0.07483333333333064,0.2545454545454545,1.0,-26.615272727272654,14.0,0.0,91.623,0,91.6691927317592
ALO,15,1,SOFT,ASTON MARTIN,0.0,91.569,0.18949999999999534,-0.03546428571428452,0.08946428571428656,0.05399999999999731,0.2727272727272727,1.0,-0.01636363636357885,15.0,0.0,91.873,0,91.92274601881759
ALO,16,1,SOFT,ASTON MARTIN,0.0,91.64099999999999,0.07199999999998852,0.13303333333334516,0.09896666666666837,0.045166666666669165,0.2909090909090909,1.0,1.5825454545455386,16.0,0.0,91.611,0,91.664299305876
ALO,17,1,SOFT,ASTON MARTIN,0.0,91.626,-0.014999999999986358,-0.10684375000000212,0.09184375000000156,0.09033333333333833,0.3090909090909091,1.0,20.38145454545466,17.0,0.0,91.955,0,92.01185259293439
ALO,18,1,SOFT,ASTON MARTIN,0.0,91.73349999999999,0.1074999999999875,0.12202941176471009,0.09947058823529593,0.146166666666673,0.32727272727272727,1.0,3.5803636363637565,18.0,0.0,91.728,0,91.78840587999278
ALO,19,1,SOFT,ASTON MARTIN,0.0,91.87299999999999,0.13949999999999818,-0.23088888888888687,0.08588888888889083,0.020500000000003144,0.34545454545454546,1.0,-24.720727272727146,19.0,0.0,92.199,0,92.26295916705118
ALO,20,1,SOFT,ASTON MARTIN,0.0,91.015,-0.8579999999999899,1.04031578947368,0.1436842105263175,0.4201666666666692,0.36363636363636365,1.0,17.978181818181866,20.0,0.0,92.052,0,92.1195124541096
ALO,21,1,SOFT,ASTON MARTIN,0.0,91.1575,0.1424999999999983,0.7132750000000059,0.18122500000000202,0.6445000000000031,0.38181818181818183,1.0,-39.92290909090898,21.0,0.0,92.17,0,92.24106574116799
ALO,22,1,SOFT,ASTON MARTIN,0.0,91.3005,0.14300000000000068,0.6555000000000002,0.21400000000000202,0.9826666666666691,0.4,1.0,13.176000000000116,22.0,0.0,92.134,0,92.20861902822638
ALO,23,1,SOFT,ASTON MARTIN,0.0,91.2485,-0.0519999999999925,0.6409772727272645,0.2445227272727289,0.8831666666666678,0.41818181818181815,1.0,-6.9250909090907555,23.0,0.0,92.289,0,92.36717231528479
ALO,24,1,SOFT,ASTON MARTIN,0.0,91.2305,-0.018000000000000682,0.7785869565217329,0.27991304347826224,0.9378333333333302,0.43636363636363634,1.0,40.77381818181834,24.0,0.0,92.458,0,92.53972560234318
ALO,25,1,SOFT,ASTON MARTIN,0.0,91.3245,0.09399999999999409,0.8180208333333301,0.31547916666666787,1.0258333333333287,0.45454545454545453,1.0,64.97272727272741,25.0,0.0,92.584,0,92.66927888940158
ALO,26,1,SOFT,ASTON MARTIN,0.0,91.4735,0.1490000000000009,0.7632200000000007,0.3472800000000012,1.1008333333333316,0.4727272727272727,1.0,10.371636363636426,26.0,0.0,92.533,0,92.62183217645999
ALO,27,1,SOFT,ASTON MARTIN,0.0,91.5395,0.0660000000000025,0.6213653846153809,0.37213461538461645,1.0791666666666657,0.4909090909090909,1.0,118.77054545454553,27.0,0.0,92.667,1,92.75938546351838
ALO,28,2,MEDIUM,ASTON MARTIN,0.0,91.3665,-0.17300000000000182,0.8939814814814799,0.40651851851851956,1.134833333333333,0.509090909090909,1.0,0.6989090909090976,1.0,1.0,90.547,0,90.64293875057677
ALO,29,2,MEDIUM,ASTON MARTIN,0.0,90.64099999999999,-0.7255000000000109,-0.48264285714285243,0.38864285714285834,0.7333333333333343,0.5272727272727272,1.0,-2.0021818181818105,2.0,2.0,90.876,0,90.97549203763519
ALO,30,2,MEDIUM,ASTON MARTIN,0.0,90.9255,0.2845000000000084,-0.42303448275861677,0.373534482758622,0.3856666666666702,0.5454545454545454,1.0,-5.7032727272727115,3.0,3.0,90.975,0,91.07804532469358
ALO,31,2,MEDIUM,ASTON MARTIN,0.0,90.9385,0.01300000000000523,-0.3258000000000114,0.36230000000000095,-0.03566666666666644,0.5636363636363636,1.0,-2.804363636363604,4.0,4.0,90.914,0,91.02059861175198
ALO,32,2,MEDIUM,ASTON MARTIN,0.0,90.9365,-0.0020000000000095497,-0.3723870967741884,0.34988709677419466,-0.011833333333332993,0.5818181818181818,1.0,-0.5054545454545334,5.0,5.0,90.91,0,91.02015189881037
ALO,33,2,MEDIUM,ASTON MARTIN,0.0,90.9525,0.016000000000005343,-0.38012500000000493,0.33762500000000095,-0.009500000000002728,0.6,1.0,9.593454545454577,6.0,6.0,90.825,0,90.93870518586878
ALO,34,2,MEDIUM,ASTON MARTIN,0.0,91.0295,0.07699999999999818,-0.5256969696969667,0.32119696969697076,-0.08983333333333121,0.6181818181818182,1.0,-19.607636363636317,7.0,7.0,91.136,0,91.25325847292717
ALO,35,2,MEDIUM,ASTON MARTIN,0.0,91.0955,0.0660000000000025,-0.2724411764705947,0.3129411764705891,-0.06883333333333515,0.6363636363636364,1.0,-33.60872727272721,8.0,8.0,91.213,0,91.33381175998557
ALO,36,2,MEDIUM,ASTON MARTIN,0.0,91.132,0.03650000000000375,-0.22531428571429735,0.3063142857142862,-0.027666666666670874,0.6545454545454545,1.0,0.8901818181818655,9.0,9.0,91.204,0,91.32836504704397
