raceId,driverId,stop,lap,time,duration,milliseconds
1,1,1,15,14:34:44,24.201,24201.0
1,1,2,35,13:28:21,24.663,172398.0
1,2,1,29,13:57:58,19.935,19935.0
1,3,1,15,14:15:36,22.665,22665.0
1,3,2,30,13:19:18,22.334,22334.0
1,3,3,41,14:38:35,21.611,21611.0
1,4,1,18,15:48:15,24.477,24477.0
1,4,2,31,14:42:45,26.689,26689.0
1,5,1,12,14:20:53,24.186,24186.0
1,6,1,11,14:45:25,22.228,22228.0
1,6,2,12,15:10:31,18.421,18421.0
1,6,3,37,15:30:28,19.262,19262.0
1,7,1,29,14:26:33,23.962,23962.0
1,7,2,36,15:51:28,23.741,23741.0
1,8,1,19,15:19:43,22.525,22525.0
1,9,1,11,14:32:51,22.122,22122.0
1,9,2,21,13:25:39,22.759,22759.0
1,10,1,34,15:23:47,25.749,25749.0
1,10,2,36,13:30:55,19.889,19889.0
2,1,1,25,14:50:31,24.034,24034.0
2,1,2,27,14:16:18,23.189,23189.0
2,1,3,37,15:50:56,25.913,25913.0
2,2,1,57,14:31:40,24.746,24746.0
2,3,1,17,14:18:52,23.276,23276.0
2,3,2,55,15:52:32,26.682,26682.0
2,3,3,64,13:33:42,20.032,20032.0
2,4,1,46,15:15:55,22.062,22062.0
2,5,1,33,13:36:28,24.097,24097.0
2,6,1,33,15:24:27,23.226,
2,6,2,35,15:42:55,23.893,23893.0
2,6,3,57,15:39:30,20.865,20865.0
2,7,1,30,13:38:37,23.073,23073.0
2,7,2,40,15:11:20,17.464,17464.0
2,7,3,50,13:45:49,22.617,
2,8,1,23,15:24:20,23.446,23446.0
2,8,2,38,14:48:49,24.025,24025.0
2,8,3,64,13:29:11,18.655,18655.0
2,9,1,29,13:27:22,23.684,23684.0
2,9,2,36,14:38:46,23.425,23425.0
2,9,3,55,15:15:35,25.331,25331.0
2,10,1,11,13:39:56,21.991,21991.0
2,10,2,29,13:20:56,26.233,26233.0
2,10,3,63,15:19:51,22.916,22916.0
3,1,1,17,13:37:19,23.284,23284.0
3,1,2,18,14:18:34,21.843,21843.0
3,1,3,38,15:34:27,23.736,23736.0
3,2,1,23,15:22:42,25.671,25671.0
3,2,2,32,15:34:57,22.054,22054.0
3,2,3,33,13:16:55,21.002,21002.0
